siteid,sitename,date,t1,t2,t3,t4,h3,h4,f1,f2
GUA046,EL MAESTRO,2020-08-30T01:03:09Z,10.5,25,23.5,21,40.1,47.3,21.31,29.53
GUA046,EL MAESTRO,2020-08-30T01:07:07Z,4,24,22.9,19.7,43.1,52.1,33.34,32.78
GUA046,EL MAESTRO,2020-08-30T01:11:17Z,12.7,25.1,23.5,20.8,40.1,47.7,21.37,21.3
GUA046,EL MAESTRO,2020-08-30T01:15:18Z,4.5,24.4,23,20,40.3,45.4,32.4,32.47
GUA046,EL MAESTRO,2020-08-30T01:19:19Z,3.2,23.6,23.1,20.3,38,45.4,21.27,21.56
GUA046,EL MAESTRO,2020-08-30T01:23:18Z,5.7,25,23.2,20.3,45.6,53.4,32.53,40.55
GUA046,EL MAESTRO,2020-08-30T01:27:30Z,6.5,24.4,23.4,20.6,39.6,47.3,21.23,29.48
GUA046,EL MAESTRO,2020-08-30T01:31:33Z,5.1,24.6,23.1,20,41.1,46.5,32.29,32.38
GUA046,EL MAESTRO,2020-08-30T01:35:38Z,3.4,23.6,23,20.2,38.8,46.1,21.12,21.09
GUA046,EL MAESTRO,2020-08-30T01:39:40Z,6.2,25.1,23.4,20.5,38.8,44,21.25,21.36
GUA046,EL MAESTRO,2020-08-30T01:43:41Z,2.2,22.9,22.7,19.7,38.5,45.5,22.88,30.67
GUA046,EL MAESTRO,2020-08-30T01:47:35Z,7.1,25.5,23.5,20.8,37.4,42.9,21.35,29.35
GUA046,EL MAESTRO,2020-08-30T01:51:38Z,2.8,23.5,22.6,19.6,38.3,45.4,21.24,21.46
GUA046,EL MAESTRO,2020-08-30T01:55:41Z,10.2,25.4,23.6,21,38.6,43.3,21.18,21.45
GUA046,EL MAESTRO,2020-08-30T01:59:41Z,2.6,23.1,22.5,19.5,38.8,45.9,21.23,21.32
GUA046,EL MAESTRO,2020-08-30T02:03:43Z,9.2,25.4,23.6,20.8,39.5,44.8,21.5,21.38
GUA046,EL MAESTRO,2020-08-30T02:07:39Z,2.5,22.9,22.6,19.5,39.3,46.5,22.86,38.93
GUA046,EL MAESTRO,2020-08-30T02:11:49Z,8.3,25.5,23.5,20.8,37.8,43.1,22.13,30.18
GUA046,EL MAESTRO,2020-08-30T02:15:53Z,2.3,22.9,22.4,19.2,38.3,45.4,32.93,32.83
GUA046,EL MAESTRO,2020-08-30T02:19:50Z,7.5,25.5,23.6,20.8,37.5,44.5,21.31,22.14
GUA046,EL MAESTRO,2020-08-30T02:23:53Z,3.9,24.3,22.9,20,40.8,47.9,32.52,32.52
GUA046,EL MAESTRO,2020-08-30T02:27:53Z,9.3,25.1,23.5,21,38.5,45.6,21.54,29.49
GUA046,EL MAESTRO,2020-08-30T02:31:56Z,4.8,24.7,23.1,20.2,39.7,44.6,32.69,40.7
GUA046,EL MAESTRO,2020-08-30T02:36:01Z,3,23.6,23,20.3,37.6,44.8,21.5,21.72
GUA046,EL MAESTRO,2020-08-30T02:40:09Z,5.9,25.2,23.3,20.5,38.5,43.1,21.44,21.52
GUA046,EL MAESTRO,2020-08-30T02:44:11Z,2.3,23.1,22.7,19.9,37.9,44.6,21.51,21.5
GUA046,EL MAESTRO,2020-08-30T02:48:15Z,7,25.5,23.5,20.9,44.4,49.5,32.69,32.78
GUA046,EL MAESTRO,2020-08-30T02:52:24Z,4.2,24,23.3,20.6,40,47.3,21.46,29.45
GUA046,EL MAESTRO,2020-08-30T02:56:21Z,6.4,25.2,23.4,20.7,40.4,45.3,21.4,21.51
GUA046,EL MAESTRO,2020-08-30T03:00:19Z,2.7,23.2,22.8,20,39.1,46.1,22.99,23.07
GUA046,EL MAESTRO,2020-08-30T03:04:24Z,6.7,25.4,23.5,20.7,38.7,43.8,21.49,21.5
GUA046,EL MAESTRO,2020-08-30T03:08:28Z,2.3,22.9,22.6,19.6,38.6,45.6,32.61,32.8
GUA046,EL MAESTRO,2020-08-30T03:12:24Z,7.4,25.6,23.6,20.9,37,43.5,21.46,29.49
GUA046,EL MAESTRO,2020-08-30T03:16:31Z,3.1,23.9,22.7,19.7,38.1,45,23.04,33.88
GUA046,EL MAESTRO,2020-08-30T03:20:26Z,10.8,25.3,23.6,21,38.1,43.3,21.39,21.48
GUA046,EL MAESTRO,2020-08-30T03:24:34Z,2.5,23.1,22.6,19.6,38.6,45.4,32.78,32.92
GUA046,EL MAESTRO,2020-08-30T03:28:32Z,7.6,25.6,23.6,21,37.4,44.2,21.43,21.41
GUA046,EL MAESTRO,2020-08-30T03:32:34Z,3.8,24.4,22.9,20.1,39.5,46.3,32.73,40.68
GUA046,EL MAESTRO,2020-08-30T03:36:38Z,8,25.2,23.6,21.1,37.1,44.3,21.45,29.48
GUA046,EL MAESTRO,2020-08-30T03:40:31Z,3.9,24.5,23,19.9,39.1,46.8,21.37,21.51
GUA046,EL MAESTRO,2020-08-30T03:44:33Z,10.7,25.4,23.5,21,39.8,44.7,21.31,21.4
GUA046,EL MAESTRO,2020-08-30T03:48:32Z,3.1,23.6,22.6,19.8,39.8,46.7,23.03,23.05
GUA046,EL MAESTRO,2020-08-30T03:52:30Z,10.5,25.5,23.6,21.1,39.2,43.8,21.45,21.49
GUA046,EL MAESTRO,2020-08-30T03:56:38Z,2.3,22.8,22.5,19.5,39,45.8,23.08,31.03
GUA046,EL MAESTRO,2020-08-30T04:00:35Z,7.3,25.5,23.5,21,39.5,44.2,22.1,21.41
GUA046,EL MAESTRO,2020-08-30T04:04:39Z,2.3,23,22.7,19.8,38.4,45.4,21.41,21.45
GUA046,EL MAESTRO,2020-08-30T04:08:45Z,6.6,25.3,23.4,20.7,43,47.8,32.57,32.66
GUA046,EL MAESTRO,2020-08-30T04:12:48Z,3.7,23.8,23.1,20.5,38.8,46.1,21.41,21.48
GUA046,EL MAESTRO,2020-08-30T04:16:57Z,5.5,25,23.2,20.4,42.3,47.9,32.66,40.68
GUA046,EL MAESTRO,2020-08-30T04:21:06Z,4.6,24.4,23.3,20.8,38.5,45.6,21.46,29.52
GUA046,EL MAESTRO,2020-08-30T04:25:11Z,5.5,25.1,23.2,20.4,42.6,48.8,32.61,32.76
GUA046,EL MAESTRO,2020-08-30T04:29:17Z,5.2,24.5,23.4,20.9,39.4,46.2,21.55,21.62
GUA046,EL MAESTRO,2020-08-30T04:33:21Z,6.4,25.4,23.5,20.9,37.9,42.9,21.61,21.65
GUA046,EL MAESTRO,2020-08-30T04:37:20Z,2.1,23,22.6,19.6,38.1,45,32.44,40.48
GUA046,EL MAESTRO,2020-08-30T04:41:17Z,7,25.6,23.6,20.9,36.1,41.9,21.46,29.53
GUA046,EL MAESTRO,2020-08-30T04:45:21Z,2.2,23.5,22.5,19.5,37.1,43.8,22.46,21.52
GUA046,EL MAESTRO,2020-08-30T04:49:20Z,7.2,25.6,23.5,21,42,46.4,21.47,21.54
GUA046,EL MAESTRO,2020-08-30T04:53:22Z,3.4,23.7,23.1,20.5,39.5,46.2,21.4,21.53
GUA046,EL MAESTRO,2020-08-30T04:57:31Z,6.9,25.5,23.5,21,38.5,43.2,21.48,22.31
GUA046,EL MAESTRO,2020-08-30T05:01:39Z,2.2,23,22.6,19.6,38.6,45.3,21.6,29.57
GUA046,EL MAESTRO,2020-08-30T05:05:38Z,7.4,25.6,23.5,21,42.9,47.3,32.71,32.88
GUA046,EL MAESTRO,2020-08-30T05:09:35Z,3.5,23.8,23.1,20.6,38.7,45.9,21.52,21.64
GUA046,EL MAESTRO,2020-08-30T05:13:41Z,5.3,25,23.2,20.4,41.9,49.8,23.14,23.26
GUA046,EL MAESTRO,2020-08-30T05:17:45Z,13,25.4,23.6,21.2,40.4,45.3,21.64,21.59
GUA046,EL MAESTRO,2020-08-30T05:21:48Z,3,23.4,22.6,19.8,40.5,47.1,21.75,29.64
GUA046,EL MAESTRO,2020-08-30T05:25:55Z,8.2,25.7,23.6,21.2,38.7,44.1,21.72,29.58
