siteid,sitename,date,t1,t2,t3,t4,h3,h4,f1,f2,truth
GUA029,PARROQUIA,2020-07-26T16:01:43Z,17.6,23.6,23.7,25,69.5,85.6,35.39,34.21,1
GUA029,PARROQUIA,2020-07-26T16:04:56Z,16.4,23.3,23.7,24.9,69.3,84.4,39.49,39.33,1
GUA029,PARROQUIA,2020-07-26T16:08:10Z,14.7,23.2,23.8,25.2,74.8,89.7,38.72,41.62,1
GUA029,PARROQUIA,2020-07-26T16:11:28Z,16.3,23.9,24,25.5,77,91,39.16,39.73,1
GUA029,PARROQUIA,2020-07-26T16:14:41Z,16.9,24.1,24.1,25.6,76.7,90.8,39.19,40.83,1
GUA029,PARROQUIA,2020-07-26T16:17:53Z,16.6,24,24,25.5,76,90.6,39.24,38.07,1
GUA029,PARROQUIA,2020-07-26T16:21:06Z,16.4,23.9,24,25.4,82.3,93.4,51.96,51.25,1
GUA029,PARROQUIA,2020-07-26T16:24:20Z,18.9,24.7,24.2,25.7,81.8,93.4,51.45,51,1
GUA029,PARROQUIA,2020-07-26T16:27:32Z,18.5,24.6,24.1,25.7,80.7,92.7,51.95,51.32,1
GUA029,PARROQUIA,2020-07-26T16:30:47Z,20.5,24.9,24,25.7,81.1,93.2,52.32,52.09,1
GUA029,PARROQUIA,2020-07-26T16:34:01Z,20.1,25.1,24,25.6,81.5,93.3,53.01,53.44,1
GUA029,PARROQUIA,2020-07-26T16:37:13Z,20.1,25.1,24,25.6,80.9,93.1,52.29,53.2,1
GUA029,PARROQUIA,2020-07-26T16:40:26Z,19.8,24.2,23.9,25.5,81.2,93.3,53.96,52.78,1
GUA029,PARROQUIA,2020-07-26T16:43:40Z,19.9,24.2,23.9,25.6,81.3,93.4,52.43,51.09,1
GUA029,PARROQUIA,2020-07-26T16:46:52Z,19.8,24.2,23.9,25.6,80.7,93.5,34.61,33.9,1
GUA029,PARROQUIA,2020-07-26T16:50:06Z,18.7,23.9,23.7,25.3,78.9,92.2,34.47,33.82,1
GUA029,PARROQUIA,2020-07-26T16:53:19Z,18,23.7,23.7,25,71.2,86.8,34.02,33.84,1
GUA029,PARROQUIA,2020-07-26T16:56:32Z,16.8,23.4,23.7,24.9,67.8,82,40.27,39.59,1
GUA029,PARROQUIA,2020-07-26T16:59:44Z,15,23.1,23.8,25.1,70.9,85,38.91,39.24,1
GUA029,PARROQUIA,2020-07-26T17:02:58Z,15.2,23.5,23.9,25.3,73.3,87.6,38.84,37.94,1
